sample_id,study_name,PMID,sample_accession,study_accession,bedaquiline,clofazimine,linezolid,delamanid,pretomanid
site.02.subj.1176.lab.2013185549.iso.1,walker2022,35373160,ERS5301347,PRJEB41197,S,S,S,S,NA
site.02.subj.1177.lab.2013185551.iso.1,walker2022,35373160,ERS5301348,PRJEB41197,S,NA,S,S,NA
site.02.subj.1178.lab.2013185554.iso.1,walker2022,35373160,ERS5301349,PRJEB41197,S,S,NA,S,NA
site.02.subj.1179.lab.2013185560.iso.1,walker2022,35373160,ERS5301350,PRJEB41197,NA,S,S,NA,NA
site.02.subj.1180.lab.2013185561.iso.1,walker2022,35373160,ERS5301351,PRJEB41197,NA,S,S,S,NA
site.02.subj.1182.lab.2014291035.iso.1,walker2022,35373160,ERS5301353,PRJEB41197,NA,S,S,S,NA
site.02.subj.1183.lab.2014291036.iso.1,walker2022,35373160,ERS5301354,PRJEB41197,S,S,S,S,NA
site.02.subj.1184.lab.2014291039.iso.1,walker2022,35373160,ERS5301355,PRJEB41197,S,S,NA,S,NA
site.02.subj.1185.lab.2014291041.iso.1,walker2022,35373160,ERS5301356,PRJEB41197,NA,S,S,S,NA
site.02.subj.1186.lab.2015291001.iso.1,walker2022,35373160,ERS5301357,PRJEB41197,S,S,S,S,NA
site.02.subj.1187.lab.2015291002.iso.1,walker2022,35373160,ERS5301358,PRJEB41197,NA,S,S,S,NA
site.02.subj.1188.lab.2015291003.iso.1,walker2022,35373160,ERS5301359,PRJEB41197,S,S,S,NA,NA
site.02.subj.1189.lab.2015291004.iso.1,walker2022,35373160,ERS5301360,PRJEB41197,NA,S,S,S,NA
site.02.subj.1190.lab.2015291005.iso.1,walker2022,35373160,ERS5301361,PRJEB41197,NA,NA,NA,S,NA
site.02.subj.1191.lab.2015291010.iso.1,walker2022,35373160,ERS5301362,PRJEB41197,S,S,S,S,NA
site.02.subj.1192.lab.2015291020.iso.1,walker2022,35373160,ERS5301363,PRJEB41197,S,S,S,S,NA
site.02.subj.1193.lab.2015291021.iso.1,walker2022,35373160,ERS5301364,PRJEB41197,S,S,NA,S,NA
site.02.subj.1194.lab.2015291022.iso.1,walker2022,35373160,ERS5301365,PRJEB41197,S,S,S,S,NA
site.02.subj.1195.lab.2015291024.iso.1,walker2022,35373160,ERS5301366,PRJEB41197,S,S,S,S,NA
site.02.subj.1196.lab.2015291027.iso.1,walker2022,35373160,ERS5301367,PRJEB41197,S,S,S,S,NA
site.02.subj.1197.lab.2016291004.iso.1,walker2022,35373160,ERS5301368,PRJEB41197,NA,S,S,S,NA
site.02.subj.1198.lab.2016291007.iso.1,walker2022,35373160,ERS5301369,PRJEB41197,S,NA,S,S,NA
site.03.subj.10120.lab.IML-01041.iso.1,walker2022,35373160,ERS5319714,PRJEB41266,S,S,S,S,NA
site.03.subj.10121.lab.IML-01043.iso.1,walker2022,35373160,ERS5319716,PRJEB41266,S,S,S,S,NA
site.03.subj.10134.lab.IML-01040.iso.1,walker2022,35373160,ERS5319713,PRJEB41266,S,NA,NA,S,NA
site.03.subj.10136.lab.IML-01042.iso.1,walker2022,35373160,ERS5319715,PRJEB41266,NA,S,NA,S,NA
site.03.subj.10148.lab.IML-01033.iso.1,walker2022,35373160,ERS5319706,PRJEB41266,S,S,NA,S,NA
site.03.subj.10159.lab.IML-00836.iso.1,walker2022,35373160,ERS5312621,PRJEB41210,S,S,S,S,NA
site.03.subj.10188.lab.IML-01045.iso.1,walker2022,35373160,ERS5319718,PRJEB41266,S,NA,NA,S,NA
site.03.subj.10204.lab.IML-01023.iso.1,walker2022,35373160,ERS5319698,PRJEB41266,S,S,NA,S,NA
site.03.subj.10208.lab.IML-01017.iso.1,walker2022,35373160,ERS5319694,PRJEB41266,S,S,S,S,NA
site.03.subj.10220.lab.IML-00953.iso.1,walker2022,35373160,ERS5319646,PRJEB41266,S,S,S,S,NA
site.03.subj.10244.lab.IML-01035.iso.1,walker2022,35373160,ERS5319708,PRJEB41266,S,S,S,S,NA
site.03.subj.10246.lab.IML-01002.iso.1,walker2022,35373160,ERS5319680,PRJEB41266,S,S,S,S,NA
site.03.subj.10262.lab.IML-01016.iso.1,walker2022,35373160,ERS5319693,PRJEB41266,S,S,S,S,NA
site.03.subj.10272.lab.IML-00791.iso.1,walker2022,35373160,ERS5312622,PRJEB41210,S,S,NA,S,NA
site.03.subj.10278.lab.IML-00837.iso.1,walker2022,35373160,ERS5312623,PRJEB41210,S,S,NA,NA,NA
site.03.subj.10289.lab.IML-01004.iso.1,walker2022,35373160,ERS5319682,PRJEB41266,S,S,S,S,NA
site.03.subj.10297.lab.IML-00973.iso.1,walker2022,35373160,ERS5319652,PRJEB41266,NA,S,S,S,NA
site.03.subj.10301.lab.IML-01003.iso.1,walker2022,35373160,ERS5319681,PRJEB41266,S,S,S,S,NA
site.03.subj.10303.lab.IML-00999.iso.1,walker2022,35373160,ERS5319677,PRJEB41266,S,S,S,S,NA
site.03.subj.10307.lab.IML-00969.iso.1,walker2022,35373160,ERS5319648,PRJEB41266,S,NA,S,S,NA
site.03.subj.10314.lab.IML-01012.iso.1,walker2022,35373160,ERS5319689,PRJEB41266,S,S,S,S,NA
site.03.subj.10318.lab.IML-01039.iso.1,walker2022,35373160,ERS5319712,PRJEB41266,S,S,S,S,NA
site.03.subj.10379.lab.IML-01046.iso.1,walker2022,35373160,ERS5319719,PRJEB41266,S,S,NA,S,NA
site.03.subj.10395.lab.IML-00788.iso.1,walker2022,35373160,ERS5312624,PRJEB41210,S,S,S,S,NA
site.03.subj.10403.lab.IML-00843.iso.1,walker2022,35373160,ERS5312625,PRJEB41210,S,S,S,S,NA
site.03.subj.10424.lab.IML-00787.iso.1,walker2022,35373160,ERS5312626,PRJEB41210,S,S,S,S,NA
site.03.subj.10482.lab.IML-00974.iso.1,walker2022,35373160,ERS5319653,PRJEB41266,S,S,S,S,NA
site.03.subj.10531.lab.IML-01050.iso.1,walker2022,35373160,ERS5319723,PRJEB41266,S,S,S,S,NA
site.03.subj.10532.lab.IML-00782.iso.1,walker2022,35373160,ERS5312628,PRJEB41210,S,S,S,S,NA
site.03.subj.10538.lab.IML-00832.iso.1,walker2022,35373160,ERS5312629,PRJEB41210,S,S,S,S,NA
site.03.subj.10558.lab.IML-01015.iso.1,walker2022,35373160,ERS5319692,PRJEB41266,S,S,S,S,NA
site.03.subj.10561.lab.IML-01008.iso.1,walker2022,35373160,ERS5319686,PRJEB41266,S,S,S,S,NA
site.03.subj.10581.lab.IML-01014.iso.1,walker2022,35373160,ERS5319691,PRJEB41266,S,S,S,S,NA
site.03.subj.10585.lab.IML-00986.iso.1,walker2022,35373160,ERS5319664,PRJEB41266,S,S,S,S,NA
site.03.subj.10586.lab.IML-01018.iso.1,walker2022,35373160,ERS5319695,PRJEB41266,S,NA,S,S,NA
site.03.subj.10587.lab.IML-00984.iso.1,walker2022,35373160,ERS5319662,PRJEB41266,S,S,S,S,NA
site.03.subj.10593.lab.IML-00852.iso.1,walker2022,35373160,ERS5312630,PRJEB41210,NA,NA,S,S,NA
site.03.subj.10594.lab.IML-00783.iso.1,walker2022,35373160,ERS5312631,PRJEB41210,S,S,S,S,NA
site.03.subj.10595.lab.IML-01022.iso.1,walker2022,35373160,ERS5319697,PRJEB41266,S,S,S,S,NA
site.03.subj.10604.lab.IML-01037.iso.1,walker2022,35373160,ERS5319710,PRJEB41266,S,NA,S,S,NA
site.03.subj.10608.lab.IML-00831.iso.1,walker2022,35373160,ERS5312632,PRJEB41210,S,S,NA,S,NA
site.03.subj.10625.lab.IML-01038.iso.1,walker2022,35373160,ERS5319711,PRJEB41266,S,S,S,S,NA
site.03.subj.10633.lab.IML-00983.iso.1,walker2022,35373160,ERS5319661,PRJEB41266,S,S,NA,S,NA
site.03.subj.10676.lab.IML-00968.iso.1,walker2022,35373160,ERS5319647,PRJEB41266,S,S,S,S,NA
site.03.subj.10678.lab.IML-00977.iso.1,walker2022,35373160,ERS5319656,PRJEB41266,S,S,S,S,NA
site.03.subj.10681.lab.IML-00792.iso.1,walker2022,35373160,ERS5312633,PRJEB41210,NA,S,S,S,NA
site.03.subj.10682.lab.IML-00854.iso.1,walker2022,35373160,ERS5312634,PRJEB41210,S,S,S,NA,NA
site.03.subj.10687.lab.IML-00855.iso.1,walker2022,35373160,ERS5312635,PRJEB41210,S,S,S,S,NA
site.03.subj.10694.lab.IML-00992.iso.1,walker2022,35373160,ERS5319670,PRJEB41266,S,S,S,S,NA
site.03.subj.10698.lab.IML-00991.iso.1,walker2022,35373160,ERS5319669,PRJEB41266,S,S,S,S,NA
site.03.subj.10711.lab.IML-00856.iso.1,walker2022,35373160,ERS5312636,PRJEB41210,NA,NA,S,S,NA
site.03.subj.10723.lab.IML-00781.iso.1,walker2022,35373160,ERS5312637,PRJEB41210,S,S,S,S,NA
site.03.subj.10743.lab.IML-01013.iso.1,walker2022,35373160,ERS5319690,PRJEB41266,S,S,S,S,NA
site.03.subj.10746.lab.IML-00786.iso.1,walker2022,35373160,ERS5312638,PRJEB41210,S,S,S,S,NA
site.03.subj.10748.lab.IML-00995.iso.1,walker2022,35373160,ERS5319673,PRJEB41266,S,S,S,S,NA
site.03.subj.10763.lab.IML-00972.iso.1,walker2022,35373160,ERS5319651,PRJEB41266,S,S,S,S,NA
site.03.subj.10768.lab.IML-01044.iso.1,walker2022,35373160,ERS5319717,PRJEB41266,NA,NA,NA,S,NA
site.03.subj.10808.lab.IML-00784.iso.1,walker2022,35373160,ERS5312639,PRJEB41210,S,S,S,S,NA
site.03.subj.10814.lab.IML-00998.iso.1,walker2022,35373160,ERS5319676,PRJEB41266,S,S,S,S,NA
site.03.subj.10815.lab.IML-01026.iso.1,walker2022,35373160,ERS5319701,PRJEB41266,S,S,S,S,NA
site.03.subj.10817.lab.IML-01007.iso.1,walker2022,35373160,ERS5319685,PRJEB41266,S,S,S,S,NA
site.03.subj.10819.lab.IML-01024.iso.1,walker2022,35373160,ERS5319699,PRJEB41266,S,S,S,S,NA
site.03.subj.10821.lab.IML-01005.iso.1,walker2022,35373160,ERS5319683,PRJEB41266,S,S,S,S,NA
site.03.subj.10823.lab.IML-00975.iso.1,walker2022,35373160,ERS5319654,PRJEB41266,S,S,S,S,NA
site.03.subj.10824.lab.IML-00985.iso.1,walker2022,35373160,ERS5319663,PRJEB41266,S,S,S,S,NA
site.03.subj.10831.lab.IML-00979.iso.1,walker2022,35373160,ERS5319658,PRJEB41266,S,S,S,S,NA
site.03.subj.10836.lab.IML-00994.iso.1,walker2022,35373160,ERS5319672,PRJEB41266,S,S,NA,S,NA
site.03.subj.10842.lab.IML-00987.iso.1,walker2022,35373160,ERS5319665,PRJEB41266,S,S,S,S,NA
site.03.subj.10844.lab.IML-00780.iso.1,walker2022,35373160,ERS5312640,PRJEB41210,S,S,NA,S,NA
site.03.subj.10847.lab.IML-00859.iso.1,walker2022,35373160,ERS5312641,PRJEB41210,S,NA,S,S,NA
site.03.subj.10850.lab.IML-00790.iso.1,walker2022,35373160,ERS5312642,PRJEB41210,NA,S,NA,S,NA
site.03.subj.10851.lab.IML-00860.iso.1,walker2022,35373160,ERS5312643,PRJEB41210,S,S,S,S,NA
site.03.subj.10856.lab.IML-00976.iso.1,walker2022,35373160,ERS5319655,PRJEB41266,S,S,S,S,NA
site.03.subj.10861.lab.IML-00835.iso.1,walker2022,35373160,ERS5312644,PRJEB41210,S,S,S,S,NA
site.03.subj.10864.lab.IML-00988.iso.1,walker2022,35373160,ERS5319666,PRJEB41266,S,S,NA,S,NA
site.03.subj.10889.lab.IML-00990.iso.1,walker2022,35373160,ERS5319668,PRJEB41266,S,S,S,S,NA
site.03.subj.10890.lab.IML-00942.iso.1,walker2022,35373160,ERS5319645,PRJEB41266,S,S,S,S,NA
site.03.subj.10897.lab.IML-01034.iso.1,walker2022,35373160,ERS5319707,PRJEB41266,S,S,S,S,NA
site.03.subj.10911.lab.IML-01010.iso.1,walker2022,35373160,ERS5319687,PRJEB41266,S,S,S,S,NA
site.03.subj.10914.lab.IML-01028.iso.1,walker2022,35373160,ERS5319702,PRJEB41266,S,S,S,S,NA
site.03.subj.10926.lab.IML-01000.iso.1,walker2022,35373160,ERS5319678,PRJEB41266,S,S,S,S,NA
site.03.subj.10940.lab.IML-01029.iso.1,walker2022,35373160,ERS5319703,PRJEB41266,S,S,S,S,NA
site.03.subj.10951.lab.IML-01006.iso.1,walker2022,35373160,ERS5319684,PRJEB41266,S,S,NA,S,NA
site.03.subj.10955.lab.IML-01048.iso.1,walker2022,35373160,ERS5319721,PRJEB41266,NA,S,S,S,NA
site.03.subj.10963.lab.IML-00795.iso.1,walker2022,35373160,ERS5312645,PRJEB41210,S,S,S,S,NA
site.03.subj.11005.lab.IML-00841.iso.1,walker2022,35373160,ERS5312647,PRJEB41210,S,S,NA,S,NA
site.03.subj.11023.lab.IML-00800.iso.1,walker2022,35373160,ERS5312648,PRJEB41210,S,NA,NA,NA,NA
site.03.subj.11030.lab.IML-00824.iso.1,walker2022,35373160,ERS5312649,PRJEB41210,S,S,S,S,NA
site.03.subj.11041.lab.IML-01001.iso.1,walker2022,35373160,ERS5319679,PRJEB41266,S,S,S,S,NA
site.03.subj.11059.lab.IML-01031.iso.1,walker2022,35373160,ERS5319705,PRJEB41266,S,S,S,S,NA
site.03.subj.11064.lab.IML-00970.iso.1,walker2022,35373160,ERS5319649,PRJEB41266,S,S,S,S,NA
site.03.subj.11067.lab.IML-00980.iso.1,walker2022,35373160,ERS5319659,PRJEB41266,S,S,S,S,NA
site.03.subj.11068.lab.IML-00971.iso.1,walker2022,35373160,ERS5319650,PRJEB41266,S,S,S,S,NA
site.03.subj.11071.lab.IML-00997.iso.1,walker2022,35373160,ERS5319675,PRJEB41266,S,S,S,S,NA
site.03.subj.11077.lab.IML-00978.iso.1,walker2022,35373160,ERS5319657,PRJEB41266,S,S,S,S,NA
site.03.subj.11086.lab.IML-00871.iso.1,walker2022,35373160,ERS5312650,PRJEB41210,S,S,S,S,NA
site.03.subj.11088.lab.IML-00802.iso.1,walker2022,35373160,ERS5312651,PRJEB41210,S,S,S,S,NA
site.03.subj.11108.lab.IML-00803.iso.1,walker2022,35373160,ERS5312652,PRJEB41210,S,S,S,S,NA
site.03.subj.11120.lab.IML-00804.iso.1,walker2022,35373160,ERS5312653,PRJEB41210,S,S,S,S,NA
site.03.subj.11122.lab.IML-00805.iso.1,walker2022,35373160,ERS5312654,PRJEB41210,NA,S,S,S,NA
site.03.subj.11123.lab.IML-00806.iso.1,walker2022,35373160,ERS5312655,PRJEB41210,NA,S,S,S,NA
site.03.subj.11129.lab.IML-01047.iso.1,walker2022,35373160,ERS5319720,PRJEB41266,S,S,S,S,NA
site.03.subj.11134.lab.IML-00807.iso.1,walker2022,35373160,ERS5312656,PRJEB41210,S,S,S,S,NA
site.03.subj.11138.lab.IML-00828.iso.1,walker2022,35373160,ERS5312657,PRJEB41210,S,S,S,S,NA
site.03.subj.11142.lab.IML-00808.iso.1,walker2022,35373160,ERS5312658,PRJEB41210,NA,NA,S,S,NA
site.03.subj.11147.lab.IML-00809.iso.1,walker2022,35373160,ERS5312659,PRJEB41210,S,S,S,S,NA
site.03.subj.11156.lab.IML-00810.iso.1,walker2022,35373160,ERS5312660,PRJEB41210,S,S,S,S,NA
site.03.subj.11159.lab.IML-00811.iso.1,walker2022,35373160,ERS5312661,PRJEB41210,NA,NA,S,S,NA
site.03.subj.11164.lab.IML-00981.iso.1,walker2022,35373160,ERS5319660,PRJEB41266,S,S,S,S,NA
site.03.subj.BOR-11140-16.lab.IML-00758.iso.1,walker2022,35373160,ERS5312662,PRJEB41210,NA,S,NA,S,NA
site.03.subj.BOR-11256-15.lab.11256-15.iso.1,walker2022,35373160,ERS5312368,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-11409-15.lab.11409-15.iso.1,walker2022,35373160,ERS5312377,PRJEB41205,S,S,NA,S,NA
site.03.subj.BOR-11812-16.lab.11812-16.iso.1,walker2022,35373160,ERS5312354,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-12632-16.lab.12632-16.iso.1,walker2022,35373160,ERS5312388,PRJEB41205,NA,S,R,S,NA
site.03.subj.BOR-13128-14.lab.13128-14.iso.1,walker2022,35373160,ERS5312373,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-13462-16.lab.IML-00757.iso.1,walker2022,35373160,ERS5312663,PRJEB41210,S,S,R,S,NA
site.03.subj.BOR-13963-16.lab.13963-16.iso.1,walker2022,35373160,ERS5312390,PRJEB41205,S,S,NA,NA,NA
site.03.subj.BOR-14593-16.lab.IML-00767.iso.1,walker2022,35373160,ERS5312664,PRJEB41210,S,S,R,S,NA
site.03.subj.BOR-14594-16.lab.14594-16.iso.1,walker2022,35373160,ERS5312395,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-14816-15.lab.14816-15.iso.1,walker2022,35373160,ERS5312375,PRJEB41205,S,NA,S,S,NA
site.03.subj.BOR-14830-14.lab.14830-14.iso.1,walker2022,35373160,ERS5312376,PRJEB41205,S,NA,NA,NA,NA
site.03.subj.BOR-15233-15.lab.15233-15.iso.1,walker2022,35373160,ERS5312374,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-15436-15.lab.15436-15.iso.1,walker2022,35373160,ERS5312372,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-1557-15.lab.1557-15.iso.1,walker2022,35373160,ERS5312386,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-15652-15.lab.15652-15.iso.1,walker2022,35373160,ERS5312371,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-1696-17.lab.IML-00754.iso.1,walker2022,35373160,ERS5312665,PRJEB41210,S,S,S,S,NA
site.03.subj.BOR-17010158.lab.IML-00660.iso.1,walker2022,35373160,ERS5320332,PRJEB41275,S,S,S,S,NA
site.03.subj.BOR-18003872.lab.IML-01765.iso.1,walker2022,35373160,ERS5320343,PRJEB41275,S,S,S,S,NA
site.03.subj.BOR-18005495.lab.IML-00184.iso.1,walker2022,35373160,ERS5320313,PRJEB41275,S,S,S,S,NA
site.03.subj.BOR-18006632.lab.IML-00187.iso.1,walker2022,35373160,ERS5312404,PRJEB41205,NA,S,S,S,NA
site.03.subj.BOR-18006798.lab.IML-00186.iso.1,walker2022,35373160,ERS5312403,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-18006908.lab.IML-00183.iso.1,walker2022,35373160,ERS5312401,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-18006982.lab.IML-00182.iso.1,walker2022,35373160,ERS5312400,PRJEB41205,S,S,NA,S,NA
site.03.subj.BOR-18007016.lab.IML-00185.iso.1,walker2022,35373160,ERS5312402,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-18007433.lab.IML-00194.iso.1,walker2022,35373160,ERS5320314,PRJEB41275,S,S,S,S,NA
site.03.subj.BOR-18007765.lab.IML-00195.iso.1,walker2022,35373160,ERS5320315,PRJEB41275,S,S,S,S,NA
site.03.subj.BOR-18008261.lab.IML-00193.iso.1,walker2022,35373160,ERS5320317,PRJEB41275,S,S,S,S,NA
site.03.subj.BOR-18008706.lab.IML-01766.iso.1,walker2022,35373160,ERS5320344,PRJEB41275,S,S,NA,S,NA
site.03.subj.BOR-18010989.lab.IML-00659.iso.1,walker2022,35373160,ERS5319642,PRJEB41266,S,S,S,S,NA
site.03.subj.BOR-18030011.lab.IML-01770.iso.1,walker2022,35373160,ERS5320348,PRJEB41275,S,NA,NA,S,NA
site.03.subj.BOR-19000032.lab.IML-01768.iso.1,walker2022,35373160,ERS5320346,PRJEB41275,NA,S,NA,NA,NA
site.03.subj.BOR-19000036.lab.IML-01771.iso.1,walker2022,35373160,ERS5320349,PRJEB41275,NA,S,S,S,NA
site.03.subj.BOR-19000362.lab.IML-01769.iso.1,walker2022,35373160,ERS5320347,PRJEB41275,S,NA,S,S,NA
site.03.subj.BOR-19000369.lab.IML-01767.iso.1,walker2022,35373160,ERS5320345,PRJEB41275,S,S,S,S,NA
site.03.subj.BOR-19008746.lab.IML-01764.iso.1,walker2022,35373160,ERS5320342,PRJEB41275,NA,S,NA,S,NA
site.03.subj.BOR-2153-16.lab.2153-16.iso.1,walker2022,35373160,ERS5312370,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-2880-17.lab.IML-00657.iso.1,walker2022,35373160,ERS5320334,PRJEB41275,S,S,S,S,NA
site.03.subj.BOR-30077-18.lab.IML-00775.iso.1,walker2022,35373160,ERS5312666,PRJEB41210,S,S,S,S,NA
site.03.subj.BOR-30079-18.lab.IML-00774.iso.1,walker2022,35373160,ERS5312667,PRJEB41210,NA,S,S,S,NA
site.03.subj.BOR-3144-17.lab.IML-00764.iso.1,walker2022,35373160,ERS5312668,PRJEB41210,S,S,S,S,NA
site.03.subj.BOR-3566-15.lab.3566-15.iso.1,walker2022,35373160,ERS5312382,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-3777-17.lab.3777-17.iso.1,walker2022,35373160,ERS5312357,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-4063-17.lab.4063-17.iso.1,walker2022,35373160,ERS5312394,PRJEB41205,S,NA,NA,S,NA
site.03.subj.BOR-4077-17.lab.IML-00772.iso.1,walker2022,35373160,ERS5312669,PRJEB41210,S,S,NA,S,NA
site.03.subj.BOR-4865-16.lab.4865-16.iso.1,walker2022,35373160,ERS5312384,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-5306-16.lab.5306-16.iso.1,walker2022,35373160,ERS5312369,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-6072-15.lab.IML-00655.iso.1,walker2022,35373160,ERS5320335,PRJEB41275,S,S,NA,S,NA
site.03.subj.BOR-6168-15.lab.6168-15.iso.1,walker2022,35373160,ERS5312379,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-6329-15.lab.6329-15.iso.1,walker2022,35373160,ERS5312380,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-6788-15.lab.6788-15.iso.1,walker2022,35373160,ERS5312385,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-6855-15.lab.6855-15.iso.1,walker2022,35373160,ERS5312378,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-6874-17.lab.6874-17.iso.1,walker2022,35373160,ERS5312360,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-6946-17.lab.6946-17.iso.1,walker2022,35373160,ERS5312361,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-7013-16.lab.7013-16.iso.1,walker2022,35373160,ERS5312367,PRJEB41205,S,S,NA,S,NA
site.03.subj.BOR-7056-15.lab.7056-15.iso.1,walker2022,35373160,ERS5312381,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-7549-17.lab.IML-00752.iso.1,walker2022,35373160,ERS5312670,PRJEB41210,S,S,S,S,NA
site.03.subj.BOR-7771-16.lab.7771-16.iso.1,walker2022,35373160,ERS5312364,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-8036-18.lab.IML-00751.iso.1,walker2022,35373160,ERS5312671,PRJEB41210,S,S,S,S,NA
site.03.subj.BOR-8122-17.lab.8122.iso.1,walker2022,35373160,ERS5312397,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR-8143-18.lab.IML-00750.iso.1,walker2022,35373160,ERS5312672,PRJEB41210,S,S,S,S,NA
site.03.subj.BOR-8669-17.lab.IML-00762.iso.1,walker2022,35373160,ERS5312673,PRJEB41210,S,S,S,S,NA
site.03.subj.BOR-8723-17.lab.8723-17.iso.1,walker2022,35373160,ERS5312363,PRJEB41205,NA,S,S,S,NA
site.03.subj.BOR-8910-16.lab.9810-16.iso.1,walker2022,35373160,ERS5312365,PRJEB41205,S,S,NA,S,NA
site.03.subj.BOR-899-17.lab.899-17.iso.1,walker2022,35373160,ERS5312359,PRJEB41205,S,S,NA,S,NA
site.03.subj.BOR-9454-16.lab.9454-16.iso.1,walker2022,35373160,ERS5312366,PRJEB41205,S,S,NA,S,NA
site.03.subj.BOR-9543-17.lab.IML-00776.iso.1,walker2022,35373160,ERS5312674,PRJEB41210,S,S,S,S,NA
site.03.subj.BOR132-15.lab.132-15.iso.1,walker2022,35373160,ERS5312387,PRJEB41205,S,S,S,S,NA
site.03.subj.BOR3523-15.lab.3523-15.iso.1,walker2022,35373160,ERS5312383,PRJEB41205,S,S,S,S,NA
site.03.subj.DR-100.lab.IML-01099.iso.1,walker2022,35373160,ERS5320006,PRJEB41272,S,S,NA,S,NA
site.03.subj.DR-103.lab.IML-01100.iso.1,walker2022,35373160,ERS5320007,PRJEB41272,S,S,S,S,NA
site.03.subj.DR-104.lab.IML-01110.iso.1,walker2022,35373160,ERS5320017,PRJEB41272,NA,S,S,NA,NA
site.03.subj.DR-105.lab.IML-01111.iso.1,walker2022,35373160,ERS5320018,PRJEB41272,S,NA,S,S,NA
site.03.subj.DR-109.lab.IML-01101.iso.1,walker2022,35373160,ERS5320008,PRJEB41272,S,S,S,S,NA
site.03.subj.DR-111.lab.IML-01102.iso.1,walker2022,35373160,ERS5320009,PRJEB41272,S,S,S,S,NA
site.03.subj.DR-113.lab.IML-01103.iso.1,walker2022,35373160,ERS5320010,PRJEB41272,S,S,S,S,NA
site.03.subj.DR-118.lab.IML-01104.iso.1,walker2022,35373160,ERS5320011,PRJEB41272,S,S,S,S,NA
site.03.subj.DR-12.lab.IML-01061.iso.1,walker2022,35373160,ERS5319734,PRJEB41266,S,S,S,S,NA
site.03.subj.DR-121.lab.IML-01105.iso.1,walker2022,35373160,ERS5320012,PRJEB41272,S,S,S,S,NA
site.03.subj.DR-125.lab.IML-01112.iso.1,walker2022,35373160,ERS5320019,PRJEB41272,NA,S,NA,S,NA
site.03.subj.DR-127.lab.IML-01113.iso.1,walker2022,35373160,ERS5320020,PRJEB41272,S,S,S,S,NA
site.03.subj.DR-13.lab.IML-01062.iso.1,walker2022,35373160,ERS5319735,PRJEB41266,S,S,S,S,NA
site.03.subj.DR-132.lab.IML-01115.iso.1,walker2022,35373160,ERS5320022,PRJEB41272,S,S,S,S,NA
site.03.subj.DR-14.lab.IML-01063.iso.1,walker2022,35373160,ERS5319736,PRJEB41266,S,S,NA,NA,NA
site.03.subj.DR-141.lab.IML-01116.iso.1,walker2022,35373160,ERS5320023,PRJEB41272,S,S,NA,S,NA
site.03.subj.DR-142.lab.IML-01117.iso.1,walker2022,35373160,ERS5320024,PRJEB41272,S,S,S,S,NA
site.03.subj.DR-143.lab.IML-01118.iso.1,walker2022,35373160,ERS5320025,PRJEB41272,S,S,S,S,NA
site.03.subj.DR-144.lab.IML-01119.iso.1,walker2022,35373160,ERS5320026,PRJEB41272,S,S,S,S,NA
site.03.subj.DR-145.lab.IML-01120.iso.1,walker2022,35373160,ERS5320027,PRJEB41272,S,S,S,S,NA
site.03.subj.DR-149.lab.IML-01121.iso.1,walker2022,35373160,ERS5320028,PRJEB41272,S,S,S,S,NA
site.03.subj.DR-150.lab.IML-01122.iso.1,walker2022,35373160,ERS5320029,PRJEB41272,S,S,NA,S,NA
site.03.subj.DR-151.lab.IML-01123.iso.1,walker2022,35373160,ERS5320030,PRJEB41272,NA,S,NA,NA,NA
site.03.subj.DR-153.lab.IML-01124.iso.1,walker2022,35373160,ERS5320031,PRJEB41272,S,S,S,S,NA
site.03.subj.DR-16.lab.IML-01064.iso.1,walker2022,35373160,ERS5319972,PRJEB41272,S,S,S,S,NA
site.03.subj.DR-161.lab.IML-01125.iso.1,walker2022,35373160,ERS5320032,PRJEB41272,S,S,S,S,NA
site.03.subj.DR-165.lab.IML-01126.iso.1,walker2022,35373160,ERS5320033,PRJEB41272,NA,S,S,S,NA
site.03.subj.DR-168.lab.IML-01127.iso.1,walker2022,35373160,ERS5320034,PRJEB41272,S,S,S,S,NA
