sample_id,study_name,PMID,sample_accession,study_accession,bedaquiline,clofazimine,linezolid,delamanid,pretomanid
S31,"Saeed DK, 2022",35209842,SRR14088385,PRJNA717333,N.T,0.5,2,NA,NA
S32,"Saeed DK, 2022",35209842,SRR14088384,PRJNA717333,N.T,0.5,2,NA,NA
S33,"Saeed DK, 2022",35209842,SRR14088382,PRJNA717333,N.T,0.5,2,NA,NA
S34,"Saeed DK, 2022",35209842,SRR14088381,PRJNA717333,N.T,0.5,2,NA,NA
S35,"Saeed DK, 2022",35209842,SRR14088380,PRJNA717333,N.T,0.5,2,NA,NA
S36,"Saeed DK, 2022",35209842,SRR14088379,PRJNA717333,N.T,0.5,0.5,NA,NA
S37,"Saeed DK, 2022",35209842,SRR14088378,PRJNA717333,N.T,0.06,0.25,NA,NA
S38,"Saeed DK, 2022",35209842,SRR14088377,PRJNA717333,N.T,0.5,0.5,NA,NA
S39,"Saeed DK, 2022",35209842,SRR14088376,PRJNA717333,N.T,0.5,1,NA,NA
S40,"Saeed DK, 2022",35209842,SRR14088375,PRJNA717333,N.T,0.5,0.5,NA,NA
SS1,"Saeed DK, 2022",35209842,SRR14088363,PRJNA717333,N.T,0.12,0.5,NA,NA
SS2,"Saeed DK, 2022",35209842,SRR14088362,PRJNA717333,N.T,0.12,0.25,NA,NA
SS3,"Saeed DK, 2022",35209842,SRR14088360,PRJNA717333,N.T,0.06,0.5,NA,NA
SS4,"Saeed DK, 2022",35209842,SRR14088359,PRJNA717333,N.T,0.03,0.25,NA,NA
SS5,"Saeed DK, 2022",35209842,SRR14088358,PRJNA717333,N.T,0.03,0.25,NA,NA
SS6,"Saeed DK, 2022",35209842,SRR14088357,PRJNA717333,N.T,0.06,0.5,NA,NA
SS7,"Saeed DK, 2022",35209842,SRR14088356,PRJNA717333,N.T,0.06,0.25,NA,NA
SS8,"Saeed DK, 2022",35209842,SRR14088355,PRJNA717333,N.T,0.06,0.5,NA,NA
SS9,"Saeed DK, 2022",35209842,SRR14088354,PRJNA717333,N.T,0.06,0.5,NA,NA
SS10,"Saeed DK, 2022",35209842,SRR14088353,PRJNA717333,N.T,0.06,0.25,NA,NA
SS11,"Saeed DK, 2022",35209842,SRR14088374,PRJNA717333,N.T,0.06,0.5,NA,NA
SS12,"Saeed DK, 2022",35209842,SRR14088373,PRJNA717333,N.T,0.015,0.5,NA,NA
SS13,"Saeed DK, 2022",35209842,SRR14088371,PRJNA717333,N.T,0.015,0.5,NA,NA
SS14,"Saeed DK, 2022",35209842,SRR14088370,PRJNA717333,N.T,0.03,0.5,NA,NA
SS15,"Saeed DK, 2022",35209842,SRR14088369,PRJNA717333,N.T,0.12,0.5,NA,NA
SS16,"Saeed DK, 2022",35209842,SRR14088368,PRJNA717333,N.T,0.12,1,NA,NA
SS17,"Saeed DK, 2022",35209842,SRR14088367,PRJNA717333,N.T,0.06,0.5,NA,NA
SS18,"Saeed DK, 2022",35209842,SRR14088366,PRJNA717333,N.T,0.06,0.5,NA,NA
