sample_id,study_name,PMID,sample_accession,study_accession,bedaquiline,clofazimine,linezolid,delamanid,delamanid
SRR6824306,gomes2021;huang2019,,SRR6824306,NA,0,0,NA,0,
SRR6824414,huang2019,,SRR6824414,NA,0,0,0,0,
SRR6824334,gomes2021;huang2019,,SRR6824334,NA,0,0,NA,0,
SRR6824448,gomes2021;huang2019,,SRR6824448,NA,0,0,NA,0,
SRR6824292,gomes2021;huang2019,,SRR6824292,NA,0,0,NA,0,
SRR6824285,gomes2021;huang2019,,SRR6824285,NA,0,0,NA,0,
SRR6824708,gomes2021;huang2019,,SRR6824708,NA,0,0,NA,0,
SRR6824597,gomes2021;huang2019,,SRR6824597,NA,0,0,NA,0,
SRR6824412,gomes2021;huang2019,,SRR6824412,NA,0,0,NA,0,
SRR6824411,gomes2021;huang2019,,SRR6824411,NA,0,0,NA,0,
SRR6824346,gomes2021;huang2019,,SRR6824346,NA,0,0,NA,0,
SRR6824304,huang2019,,SRR6824304,NA,0,0,0,0,
SRR6824493,gomes2021;huang2019,,SRR6824493,NA,0,0,NA,0,
SRR6824496,gomes2021;huang2019,,SRR6824496,NA,0,0,NA,0,
SRR6824490,gomes2021;huang2019,,SRR6824490,NA,0,0,NA,0,
SRR6824491,gomes2021;huang2019,,SRR6824491,NA,0,0,NA,0,
SRR6824492,gomes2021;huang2019,,SRR6824492,NA,0,0,NA,0,
SRR6824487,gomes2021;huang2019,,SRR6824487,NA,0,0,NA,0,
SRR6824488,gomes2021;huang2019,,SRR6824488,NA,0,0,NA,0,
SRR6824610,gomes2021;huang2019,,SRR6824610,NA,0,0,NA,0,
SRR6824609,gomes2021;huang2019,,SRR6824609,NA,0,0,NA,0,
SRR6824608,gomes2021;huang2019,,SRR6824608,NA,NA,0,NA,NA,
SRR6824607,gomes2021;huang2019,,SRR6824607,NA,NA,0,NA,NA,
SRR6824614,gomes2021;huang2019,,SRR6824614,NA,0,0,NA,0,
SRR6824613,gomes2021;huang2019,,SRR6824613,NA,0,0,NA,0,
SRR6824611,gomes2021;huang2019,,SRR6824611,NA,0,0,NA,0,
SRR6824605,huang2019,,SRR6824605,NA,0,0,0,0,
SRR6824463,gomes2021;huang2019,,SRR6824463,NA,0,0,NA,0,
SRR6824464,gomes2021;huang2019,,SRR6824464,NA,0,0,NA,0,
SRR6824462,gomes2021;huang2019,,SRR6824462,NA,0,0,NA,0,
SRR6824467,gomes2021;huang2019,,SRR6824467,NA,0,0,NA,0,
SRR6824527,gomes2021;huang2019,,SRR6824527,NA,0,0,NA,0,
SRR6824528,gomes2021;huang2019,,SRR6824528,NA,0,0,NA,0,
SRR6824471,gomes2021;huang2019,,SRR6824471,NA,0,0,NA,0,
SRR6824530,gomes2021;huang2019,,SRR6824530,NA,0,0,NA,0,
SRR6824578,gomes2021;huang2019,,SRR6824578,NA,0,0,NA,0,
SRR6824577,gomes2021;huang2019,,SRR6824577,NA,0,0,NA,0,
SRR6824580,gomes2021;huang2019,,SRR6824580,NA,0,0,NA,0,
SRR6824579,gomes2021;huang2019,,SRR6824579,NA,0,0,NA,0,
SRR6824583,gomes2021;huang2019,,SRR6824583,NA,0,0,NA,0,
SRR6824390,gomes2021;huang2019,,SRR6824390,NA,0,0,NA,0,
SRR6824651,gomes2021;huang2019,,SRR6824651,NA,0,0,NA,0,
SRR6824650,gomes2021;huang2019,,SRR6824650,NA,0,0,NA,0,
SRR6824649,gomes2021;huang2019,,SRR6824649,NA,0,0,NA,0,
SRR6824648,gomes2021;huang2019,,SRR6824648,NA,0,0,NA,0,
SRR6824655,gomes2021;huang2019,,SRR6824655,NA,0,0,NA,0,
SRR6824654,gomes2021;huang2019,,SRR6824654,NA,0,0,NA,0,
SRR6824653,gomes2021;huang2019,,SRR6824653,NA,0,0,NA,0,
SRR6824652,gomes2021;huang2019,,SRR6824652,NA,0,0,NA,0,
SRR6824657,gomes2021;huang2019,,SRR6824657,NA,0,0,NA,0,
SRR6824656,gomes2021;huang2019,,SRR6824656,NA,0,0,NA,0,
SRR6824535,gomes2021;huang2019,,SRR6824535,NA,0,0,NA,0,
SRR6824537,gomes2021;huang2019,,SRR6824537,NA,0,0,NA,0,
SRR6824538,gomes2021;huang2019,,SRR6824538,NA,0,0,NA,0,
SRR6824531,gomes2021;huang2019,,SRR6824531,NA,0,0,NA,0,
SRR6824533,gomes2021;huang2019,,SRR6824533,NA,0,0,NA,0,
SRR6824534,gomes2021;huang2019,,SRR6824534,NA,0,0,NA,0,
SRR6824539,gomes2021;huang2019,,SRR6824539,NA,0,0,NA,0,
SRR6824540,gomes2021;huang2019,,SRR6824540,NA,0,1,NA,0,
SRR6824474,gomes2021;huang2019,,SRR6824474,NA,0,0,NA,0,
SRR6824476,gomes2021;huang2019,,SRR6824476,NA,0,0,NA,0,
SRR6824475,gomes2021;huang2019,,SRR6824475,NA,0,0,NA,0,
SRR6824470,gomes2021;huang2019,,SRR6824470,NA,0,0,NA,0,
SRR6824469,gomes2021;huang2019,,SRR6824469,NA,0,0,NA,0,
SRR6824472,gomes2021;huang2019,,SRR6824472,NA,0,0,NA,0,
SRR6824529,gomes2021;huang2019,,SRR6824529,NA,0,0,NA,0,
SRR6824466,gomes2021;huang2019,,SRR6824466,NA,0,0,NA,0,
SRR6824465,gomes2021;huang2019,,SRR6824465,NA,0,0,NA,0,
SRR6824356,gomes2021;huang2019,,SRR6824356,NA,0,0,NA,0,
SRR6824354,gomes2021;huang2019,,SRR6824354,NA,0,0,NA,0,
SRR6824351,gomes2021;huang2019,,SRR6824351,NA,0,0,NA,0,
SRR6824352,gomes2021;huang2019,,SRR6824352,NA,0,0,NA,0,
SRR6824349,gomes2021;huang2019,,SRR6824349,NA,0,1,NA,0,
SRR6824350,gomes2021;huang2019,,SRR6824350,NA,0,0,NA,0,
SRR6824347,gomes2021;huang2019,,SRR6824347,NA,0,0,NA,0,
SRR6824348,gomes2021;huang2019,,SRR6824348,NA,0,0,NA,0,
SRR6824705,gomes2021;huang2019,,SRR6824705,NA,0,0,NA,0,
SRR6824703,gomes2021;huang2019,,SRR6824703,NA,0,0,NA,0,
SRR6824701,gomes2021;huang2019,,SRR6824701,NA,0,0,NA,0,
SRR6824707,huang2019,,SRR6824707,NA,0,0,0,0,
SRR6824706,gomes2021;huang2019,,SRR6824706,NA,0,0,NA,0,
SRR6824585,gomes2021;huang2019,,SRR6824585,NA,0,0,NA,0,
SRR6824586,gomes2021;huang2019,,SRR6824586,NA,0,0,NA,0,
SRR6824587,gomes2021;huang2019,,SRR6824587,NA,0,0,NA,0,
SRR6824588,gomes2021;huang2019,,SRR6824588,NA,0,0,NA,0,
SRR6824589,gomes2021;huang2019,,SRR6824589,NA,0,0,NA,0,
SRR6824591,gomes2021;huang2019,,SRR6824591,NA,0,0,NA,0,
SRR6824296,gomes2021;huang2019,,SRR6824296,NA,0,0,NA,0,
SRR6824294,gomes2021;huang2019,,SRR6824294,NA,0,0,NA,0,
SRR6824295,gomes2021;huang2019,,SRR6824295,NA,0,1,NA,0,
SRR6824300,gomes2021;huang2019,,SRR6824300,NA,0,0,NA,0,
SRR6824301,gomes2021;huang2019,,SRR6824301,NA,0,0,NA,0,
SRR6824298,gomes2021;huang2019,,SRR6824298,NA,0,0,NA,0,
SRR6824299,huang2019,,SRR6824299,NA,0,0,0,0,
SRR6824302,gomes2021;huang2019,,SRR6824302,NA,0,0,NA,0,
SRR6824303,gomes2021;huang2019,,SRR6824303,NA,0,1,NA,0,
SRR6824680,gomes2021;huang2019,,SRR6824680,NA,0,0,NA,0,
SRR6824678,gomes2021;huang2019,,SRR6824678,NA,0,0,NA,0,
SRR6824679,gomes2021;huang2019,,SRR6824679,NA,0,0,NA,0,
SRR6824684,gomes2021;huang2019,,SRR6824684,NA,0,0,NA,1,
SRR6824685,gomes2021;huang2019,,SRR6824685,NA,0,0,NA,0,
SRR6824683,gomes2021;huang2019,,SRR6824683,NA,0,0,NA,0,
SRR6824686,gomes2021;huang2019,,SRR6824686,NA,0,0,NA,0,
SRR6824331,gomes2021;huang2019,,SRR6824331,NA,0,0,NA,0,
SRR6824329,gomes2021;huang2019,,SRR6824329,NA,0,0,NA,0,
SRR6824335,gomes2021;huang2019,,SRR6824335,NA,0,1,NA,0,
SRR6824333,gomes2021;huang2019,,SRR6824333,NA,0,1,NA,0,
SRR6824327,gomes2021;huang2019,,SRR6824327,NA,NA,0,NA,NA,
SRR6824326,gomes2021;huang2019,,SRR6824326,NA,0,0,NA,0,
SRR6824445,gomes2021;huang2019,,SRR6824445,NA,0,0,NA,0,
SRR6824446,gomes2021;huang2019,,SRR6824446,NA,0,1,NA,0,
SRR6824441,gomes2021;huang2019,,SRR6824441,NA,0,0,NA,0,
SRR6824442,gomes2021;huang2019,,SRR6824442,NA,0,0,NA,0,
SRR6824443,gomes2021;huang2019,,SRR6824443,NA,0,0,NA,0,
SRR6824444,gomes2021;huang2019,,SRR6824444,NA,0,0,NA,0,
SRR6824449,gomes2021;huang2019,,SRR6824449,NA,0,0,NA,0,
SRR6824450,gomes2021;huang2019,,SRR6824450,NA,0,0,NA,0,
